Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Homepage,Chrome 131.0.0.0,,,15-01-2025 17:09:09,15-01-2025 17:09:48,38.830s,PASSED
,,,,,,,
Test Cases/Specific Cases/LS/General/Homepage/My Agenda,Chrome 131.0.0.0,,,15-01-2025 17:09:10,15-01-2025 17:09:48,37.909s,PASSED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,15-01-2025 17:09:13,15-01-2025 17:09:41,27.983s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/a_Homepage""))",Chrome 131.0.0.0,,,15-01-2025 17:09:41,15-01-2025 17:09:42,0.876s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_Admission Agreement""), ""Admission Agreement"")",Chrome 131.0.0.0,,,15-01-2025 17:09:42,15-01-2025 17:09:45,2.666s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_C Automation, C Client""), ""C Automation, C Client"")",Chrome 131.0.0.0,,,15-01-2025 17:09:45,15-01-2025 17:09:45,0.705s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_B Automation, B Client""), ""B Automation, B Client"")",Chrome 131.0.0.0,,,15-01-2025 17:09:45,15-01-2025 17:09:46,0.432s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_C Automation, C Client_1""), ""C Automation, C Client"")",Chrome 131.0.0.0,,,15-01-2025 17:09:46,15-01-2025 17:09:46,0.420s,PASSED
"verifyElementText(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Homepage/Page_Home/span_A Automation, A Client""), ""A Automation, A Client"")",Chrome 131.0.0.0,,,15-01-2025 17:09:46,15-01-2025 17:09:47,0.687s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,15-01-2025 17:09:47,15-01-2025 17:09:48,0.856s,PASSED
