Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
collect payment cc,Chrome 132.0.0.0,,,23-01-2025 11:16:27,23-01-2025 11:17:18,51.136s,PASSED
,,,,,,,
Test Cases/Specific Cases/FD/ACCOUNT PROFILE/COLLECT_PAYMENTS/Account profile - collect payment cc new,Chrome 132.0.0.0,,,23-01-2025 11:16:27,23-01-2025 11:17:18,50.950s,PASSED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",Chrome 132.0.0.0,,,23-01-2025 11:16:27,23-01-2025 11:16:42,14.213s,PASSED
maximizeWindow(),Chrome 132.0.0.0,,,23-01-2025 11:16:42,23-01-2025 11:16:42,0.037s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Census/Advance_Census/Filter/Page_Home/a_Census""))",Chrome 132.0.0.0,,,23-01-2025 11:16:42,23-01-2025 11:16:43,1.046s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/COLLECT_PAYMENTS/Page_Home/a_A Automation, A Client""))",Chrome 132.0.0.0,,,23-01-2025 11:16:43,23-01-2025 11:16:51,8.697s,PASSED
"navigateToUrl(""https://site17.lsapp.cloud/account/1672"")",Chrome 132.0.0.0,,,23-01-2025 11:16:51,23-01-2025 11:16:55,3.353s,PASSED
"click(findTestObject(""Specific Cases Repository/FD/ACCOUNT PROFILE/COLLECT_PAYMENTS/CollectPaymentBttn""))",Chrome 132.0.0.0,,,23-01-2025 11:16:55,23-01-2025 11:16:56,0.777s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/COLLECT_PAYMENTS/Page_Account Profile/input_Payor_payorname""))",Chrome 132.0.0.0,,,23-01-2025 11:16:56,23-01-2025 11:16:56,0.719s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/COLLECT_PAYMENTS/Page_Account Profile/div_A Client A Automation""))",Chrome 132.0.0.0,,,23-01-2025 11:16:56,23-01-2025 11:16:57,0.920s,PASSED
