Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
notes,Chrome 132.0.0.0,,,23-01-2025 11:19:34,23-01-2025 11:20:07,33.251s,PASSED
,,,,,,,
Test Cases/Specific Cases/FD/ACCOUNT PROFILE/Notes,Chrome 132.0.0.0,,,23-01-2025 11:19:34,23-01-2025 11:20:07,33.073s,PASSED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",Chrome 132.0.0.0,,,23-01-2025 11:19:34,23-01-2025 11:19:47,12.482s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Home/a_Census""))",Chrome 132.0.0.0,,,23-01-2025 11:19:47,23-01-2025 11:19:48,0.715s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Home/a_D Automation, D Client_1""))",Chrome 132.0.0.0,,,23-01-2025 11:19:48,23-01-2025 11:19:55,7.348s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Client Profile/div_Account Profile""))",Chrome 132.0.0.0,,,23-01-2025 11:19:55,23-01-2025 11:19:59,3.859s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Account Profile/a_Note""))",Chrome 132.0.0.0,,,23-01-2025 11:19:59,23-01-2025 11:20:00,0.638s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Account Profile/select_--Select Status--                   _bd1f8d""), ""5"", true)",Chrome 132.0.0.0,,,23-01-2025 11:20:00,23-01-2025 11:20:01,1.823s,PASSED
"setText(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Account Profile/textarea_Note_note""), ""test 2"")",Chrome 132.0.0.0,,,23-01-2025 11:20:01,23-01-2025 11:20:02,0.875s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Account Profile/button_Save""))",Chrome 132.0.0.0,,,23-01-2025 11:20:02,23-01-2025 11:20:06,3.778s,PASSED
"verifyElementText(findTestObject(""Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Account Profile/p_Accounting note has been added""), ""Accounting note has been added."")",Chrome 132.0.0.0,,,23-01-2025 11:20:06,23-01-2025 11:20:07,0.578s,PASSED
"click(findTestObject(""Specific Cases Repository/FD/ACCOUNT PROFILE/NOTES/Page_Account Profile/a_Notes""))",Chrome 132.0.0.0,,,23-01-2025 11:20:07,23-01-2025 11:20:07,0.767s,PASSED
