Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Calendar,Chrome 132.0.0.0,,,17-02-2025 09:56:04,17-02-2025 10:09:05,13m - 0.416s,PASSED
,,,,,,,
Test Cases/Specific Cases/LS/General/Calendar/Events_Creation/Future Events Creation/Future_Calendar_Appointment,Chrome 132.0.0.0,,,17-02-2025 09:56:04,17-02-2025 09:57:32,1m - 27.569s,PASSED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",Chrome 132.0.0.0,,,17-02-2025 09:56:05,17-02-2025 09:56:35,30.383s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Page_Home/a_Calendar""))",Chrome 132.0.0.0,,,17-02-2025 09:56:35,17-02-2025 09:56:43,7.311s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/div_Week""))",Chrome 132.0.0.0,,,17-02-2025 09:56:43,17-02-2025 09:56:46,3.291s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/button_Create new""))",Chrome 132.0.0.0,,,17-02-2025 09:56:46,17-02-2025 09:56:51,4.744s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/label_Appointment""))",Chrome 132.0.0.0,,,17-02-2025 09:56:51,17-02-2025 09:56:53,2.936s,PASSED
"click(findTestObject(""Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/span_Select Client""))",Chrome 132.0.0.0,,,17-02-2025 09:56:53,17-02-2025 09:56:55,1.606s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Page_Calendar/a_Cancel""))",Chrome 132.0.0.0,,,17-02-2025 09:56:55,17-02-2025 09:56:58,2.586s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/button_Create new""))",Chrome 132.0.0.0,,,17-02-2025 09:56:58,17-02-2025 09:57:02,4.209s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/label_Appointment""))",Chrome 132.0.0.0,,,17-02-2025 09:57:02,17-02-2025 09:57:04,1.875s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/label_Appointment""))",Chrome 132.0.0.0,,,17-02-2025 09:57:04,17-02-2025 09:57:04,0.644s,PASSED
"click(findTestObject(""Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/span_Select Client""))",Chrome 132.0.0.0,,,17-02-2025 09:57:04,17-02-2025 09:57:06,2.079s,PASSED
"clickOffset(findTestObject(""Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/span_Select Client""), 0, 160)",Chrome 132.0.0.0,,,17-02-2025 09:57:06,17-02-2025 09:57:08,1.293s,PASSED
"click(findTestObject(""Object Repository/Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/span_Select Service""))",Chrome 132.0.0.0,,,17-02-2025 09:57:08,17-02-2025 09:57:09,1.275s,PASSED
"clickOffset(findTestObject(""Specific Cases Repository/LS/Home/Calendar/Calendar_Events/Calendar_Events_Creation/Appointment/Page_Calendar/span_Select Service""), 0, 160)",Chrome 132.0.0.0,,,17-02-2025 09:57:09,17-02-2025 09:57:10,0.870s,PASSED
