Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Inquiry Profile,,,,20-02-2025 11:32:10,20-02-2025 11:32:44,33.467s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/Inquiry Profile/Demographics,,,,20-02-2025 11:32:11,20-02-2025 11:32:20,9.170s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:11,20-02-2025 11:32:20,8.296s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/Inquiry Profile/Inquiry Profile,,,,20-02-2025 11:32:20,20-02-2025 11:32:24,3.857s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:20,20-02-2025 11:32:24,3.506s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/Inquiry Profile/Referral Source,,,,20-02-2025 11:32:24,20-02-2025 11:32:28,4.237s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:24,20-02-2025 11:32:28,3.925s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/Inquiry Profile/Consents,,,,20-02-2025 11:32:28,20-02-2025 11:32:39,10.755s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:29,20-02-2025 11:32:39,10.187s,FAILED
,,,,,,,
Test Cases/Specific Cases/LS/Inquiry Profile/Contacts,,,,20-02-2025 11:32:39,20-02-2025 11:32:44,5.039s,FAILED
"callTestCase(findTestCase(""Common Cases/Login""), [:], STOP_ON_FAILURE)",,,,20-02-2025 11:32:40,20-02-2025 11:32:44,4.176s,FAILED
